Date,Content,Comment
2024-08-02,https://boxd.it/gSLle,Nice list. I would say Parasite fits the defininton. At the midpoint it abruptly goes from a comedy to a thriller. 
2025-08-15,https://boxd.it/aJtTWH,"I aslo thought that was weird... I looked it up and apperantly that shot implies that Eli (Elias), despite presenting as a female, was born male and castrated. This detail is stated in the novel by Lindqvist, the author of the book. The movie doesn't explicitly explain it, but the shot subtly hints at this backstory. Gives another meaning to her line ""I'm not a girl""."
