Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-07,Babylon,2022,https://boxd.it/3P93TJ,3.5,,,2022-12-12
2024-03-04,Dune: Part Two,2024,https://boxd.it/5Y9pMx,5,,,2024-03-03
2024-08-06,Dune: Part Two,2024,https://boxd.it/72ilIt,5,Yes,,2024-08-03
2025-01-02,Anora,2024,https://boxd.it/8h9wF1,2,,,2025-01-02
2025-01-03,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/8hU8B9,1,,,2025-01-03
2025-04-22,Puss in Boots: The Last Wish,2022,https://boxd.it/9tIYTL,4,Yes,,2025-04-21
